Run,Rows,Source,Accuracy,Precision,Recall,F1
Llama 1B FT Eval,2501,results/llama_1b_ft_eval.csv,0.850460,0.844291,0.834188,0.839209
Llama 1B FT Transfer Eval,901,results/llama_1b_ft_transfer_eval.csv,0.633740,0.632699,0.996473,0.773973
